id,trigger,conditions,script,text,options,notes
CorbyQuest1RewardServumalive,DialogOptionSelected,"$option == CorbyQuest1RewardOption score:1000
$option == $global.hegtales_letServumlive","$global.hegtales_Quest1GotReward = true
Call $global.hegtales_Quest1_ref updateStage
SetTextHighlights ""Suspicious Cargo""
AdjustRepActivePerson SUSPICIOUS -5
IncreaseSmugglingSuspicion 0.6","""What do you mean kiddo? I just got a report that they are still alive!"" Corby speaks with dissapointment. Looking at his tripad as he seems quite annoyed with it. But in the meanwhile you order a shuttle to be sent with the Suspicious Cargo.

""What? Why haven't you cut the comms already?""","CorbyQuest1RewardOption1:""And the reward for the shipment?""",
"CorbyQuest1RewardServumkill
",DialogOptionSelected,$option == CorbyQuest1RewardOption,"$global.hegtales_Quest1GotReward = true
Call $global.hegtales_Quest1_ref updateStage
SetTextHighlights ""Suspicious Cargo""
IncreaseSmugglingSuspicion 0.3","""That's amazing kid!"" Corby speaks with enthusiasm. Looking at his screen as you send him the information and you order a shuttle to be sent with the Suspicious Cargo.

He seems very interested on the reports as he absently sends the credits.","CorbyQuest1RewardOption1:""And the reward for the shipment?""",
CorbyQuest1RewardOption1,DialogOptionSelected,$option == CorbyQuest1RewardOption1,"$player.unlockedAustraliscommsid = true
$player.corbycompletedquest1 = true
AddRemoveCommodity hand_weapons 100 true
AddTextSmall ""Automated traffic monitoring flags suspicious cargo transfer"" highlight
FireAll PopulateOptions","""Of course, of course... here are some credits and some of that cargo for the trouble. Don't tell the authorities.""

Your transport shuttle returns with the reward and an ample stock of Heavy Weapons.",,
#END Corby quest 1 Thanks to Osiris,,,,,,
,,,,,,
# servum meet,,,,,,
hegtalesservumEncounter,BeginFleetEncounter,"$hegtales_Quest1_pirate score:10000

Call $hegtales_Quest1_ref updateData","FleetDesc
HailPlayer",,,
hegtalesservumOpenComm,OpenCommLink,"$entity.hegtales_Quest1_pirate score:1000
# !$entity.ignorePlayerCommRequests
Call $global.hegtales_Quest1_ref updateData","$entity.ignorePlayerCommRequests = true
SetStoryOption hegtales_servumBluff 1 hegtales_servumBluff general ""Convinced pirate kidnapper you were working for Kanta""
$servumPayment = $hegtales_servumPayment","Servum, the pirate captain comes into view as the comms line flickers to clarity.

""Captain! How can I help you?"" $heOrShe says theatrically. ""I can imagine why you are here..."" $HeOrShe leans in for a moment and you are deafened by the sound of music and engines, you almost feel like you are in engineering. ""The fat man has sent you to kill us.""

The music and engine sounds stop momentarily.

""No one need's to die today. Pay us, we will give you the Suspicious Cargo the fat man wants and we go in our way.""","hegtales_servumRefuse:Politely refuse.
hegtales_servumOffer:Offer them to buy the cargo.
hegtales_servumBluff:Bluff Servum by saying you're working for Warlord Kanta",
hegtalesservumRefuse,DialogOptionSelected,$option == hegtales_servumRefuse,,"Servum turns the music and engine sounds to the maximun as he starts crackling, as you refused $hisOrHer terms.

""Its ride or die!"" $heOrShe yells.

The comms are cut as the pirate fleet moves to engage.",cutCommLinkNoText:Continue,
hegtalesservumOffer,DialogOptionSelected,$option == hegtales_servumOffer,"SetTextHighlights $hegtales_servum_Payment
$hegtales_servumPrice = $hegtales_servum_Payment
DoCanAffordCheck $hegtales_servumPrice hegtales_servumbuyAgree false","After some additional implied threats and a bit of negotiation on your part, the pirate captain offers to sell you what they found for $hegtales_servum_Payment credits.","hegtales_servumbuyAgree: Agreen on the price
hegtales_servumbuyDecline: Decline, they are pirates
hegtales_servumbuyDecline:""I've decided to take it from you by force.""",
hegtales_servumbuyAgree,DialogOptionSelected,$option == hegtales_servumbuyAgree,"SetTextHighlights ""Suspicious Cargo""

MakeOtherFleetNonHostile hegtales_Quest1 true
MakeOtherFleetGoAway true

$global.hegtales_Quest1_suspicious_cargo = true
Call $global.hegtales_Quest1_ref updateStage
Call $entity.hegtales_Quest1_ref makeUnimportant

$global.hegtales_letServumlive = true

RemoveCommodity credits $hegtales_servumPayment
AdjustRepPerson hegtales_corby SUSPICIOUS -5","""Great! my good captain. I am so pleased we could come to an agreement.""

As soon the credits are sent, the pirates jettison the Suspicious Cargo.",cutCommLinkNoText:Continue,
hegtalesservumBuyDecline,DialogOptionSelected,$option == hegtales_servumbuyDecline,,"""Nah, I would win."" Servum turns the music and engine sounds to the maximun as he starts crackling, as you refused $hisOrHer terms.

The comms are cut as the pirate fleet moves to engage.",hegtales_servumEndangery:continue,
hegtalesservumEndAngy,DialogOptionSelected,$option == hegtales_servumEndangery,"EndConversation
ShowDefaultVisual","""Nah, I would win."" Servum turns the music and engine sounds to the maximun as he starts crackling, as you refused $hisOrHer terms.

The comms are cut as the pirate fleet moves to engage.",,
hegtalesservumBluff,DialogOptionSelected,$option == hegtales_servumBluff,$player.kantaBluffs++,"Servum seems extremely confused.

You use the moment to calmly explain how you are under Warlord Kanta's orders, and it'd really be for the best if everything possible was done to facilitate the success of your mission.

By giving you the cargo, of course.",hegtales_servumBluff1:Continue,
hegtalesservumBluff1,DialogOptionSelected,$option == hegtales_servumBluff1,"MakeOtherFleetNonHostile hegtales_Quest1 true
SetTextHighlights ""Suspicious Cargo""

MakeOtherFleetAvoidContact true
MakeOtherFleetGoAway true
Call $entity.hegtales_Quest1_ref makeUnimportant

$global.hegtales_Quest1_suspicious_cargo = true
Call $global.hegtales_Quest1_ref updateStage

$global.hegtales_letServumlive = true

AdjustRepPerson hegtales_corby SUSPICIOUS -1","Servum seems extremely dissapointed

""Okay...."" $heOrShe ""I get it..."" $heOrShe leans $hisOrHer head down. ""Be on your way then... give Kanta... bah, don't bother.""

You look at $himOrHer smugly while the pirates jettison the Suspicious Cargo.",cutCommLinkNoText:Bye-Bye.,
#END servum meet,,,,,,
,,,,,,
#Australis first contact,,,,,,
greetingAustralisFirstHegemony,PickGreeting,"$id == hegtales_australis score:100
$player.fcm_faction == hegemony
!$player.hasmetAustralis
!$global.hegtales_house_ossum_start

AdjustRepActivePerson FRIENDLY 5
AdjustRep $faction.id COOPERATIVE 1","BeginConversation hegtales_australis
$player.invitedtocastleossum = true
$player.hasmetAustralis = true","Your comms patch through to the ID provided by Corby. The screen flickers for a moment before revealing a lavishly decorated communications room, clearly part of one of the grand estates on Eventide.

A figure appears on the screen, their uniform adorned with the insignia of the Hegemony, on his cap a Skull pin. They greet you with a warm, practiced smile.

""Ah, auxiliary-captain $playerLastName! Your reputation precedes you. Praise Ludd for this fortunate meeting. We would be honored to host you at our estate, where we can discuss matters in greater comfort.""

Without hesitation, they transmit a set of coordinates to your ship, accompanied by detailed authorization codes for your shuttle to land. The message ends with a subtle nod, and the connection is severed.
",cutCommLink: Cut the comm link,
greetingAustralisFirstFriendly,PickGreeting,"$id == hegtales_australis score:100
RepGTE $faction.id WELCOMING
!$player.hasmetAustralis
!$global.hegtales_house_ossum_start

AdjustRepActivePerson FRIENDLY 5
AdjustRep $faction.id COOPERATIVE 1","BeginConversation hegtales_australis
$player.invitedtocastleossum = true
$player.hasmetAustralis = true","Your comms patch through to the ID provided by Corby. The screen flickers for a moment before revealing a lavishly decorated communications room, clearly part of one of the grand estates on Eventide. 

A figure appears on the screen, their uniform adorned with the insignia of the Hegemony, on his cap a Skull pin. They greet you with a warm, practiced smile.

""Ah, $playerLastName Your reputation precedes you. Praise Ludd for this fortunate meeting. We would be honored to host you at our estate, where we can discuss matters in greater comfort.""

Without hesitation, they transmit a set of coordinates to your ship, accompanied by detailed authorization codes for your shuttle to land. The message ends with a subtle nod, and the connection is severed.",cutCommLink: Cut the comm link,
"greetingAustralisFirstNormal
",PickGreeting,"$id == hegtales_australis score:100
!$player.hasmetAustralis
!$global.hegtales_house_ossum_start","BeginConversation hegtales_australis
$player.invitedtocastleossum = true
$player.hasmetAustralis = true","Your comms patch through to the ID provided by Corby. The screen flickers for a moment before revealing a lavishly decorated communications room, clearly part of one of the grand estates on Eventide.

A figure appears on the screen, their uniform adorned with the insignia of the Hegemony, on his cap a Skull pin. They lean slightly forward, studying you with a mix of curiosity and skepticism.

""Prove yourself useful, and perhaps you'll find a place as an asset to House Ossum. For now, I'll send you the coordinates to our estate so we can speak more comfortably.""

Moments later, your crew receives a transmission with the coordinates of the estate, along with detailed authorization codes for your shuttle to land. The connection ends abruptly.",cutCommLink: Cut the comm link,
greetingAustralisFirstOssum,PickGreeting,"$id == hegtales_australis
!$player.hasmetAustralis
$global.hegtales_house_ossum_start score:1000","BeginConversation hegtales_australis
$player.hasmetAustralis = true
$player.australiscontact = true
FireAll PopulateOptions","The man is currently looking at his tripad, almost absently before he turns his green eyes to the screen. ""Australis of House Ossum here...""

""$playerFirstName! How are you? How's your mother? You have been gone for too long, if you need help... Just hit me up!""",,
#Going to the Ossum State first time,,,,,,
greetingAustralisIgnoreCall,PickGreeting,"$id == hegtales_australis score:200
$player.invitedtocastleossum",ShowImageVisual house_ossum,"Your call connects to an automated receiver.

An animated Skull spins endlessly on your display. After half a minute the call is rejected.",cutCommLink:Close comms,
hegtales_ossumcastlestart,PopulateOptions,"$hasMarket
$market.id == eventide
$menuState == main
$player.invitedtocastleossum",SetOptionColor visitCastleOssum highlight,,3:visitCastleOssum:Take a Shuttle to the Ossum estate.,
hegtales_ossumcastle,DialogOptionSelected,$option == visitCastleOssum,ShowLargePlanet,"Your shuttle descends through the atmosphere, guided by the authorization codes provided to your crew. 

As the shuttle approaches its destination, the landscape below begins to unfold in breathtaking detail. Rising majestically from a fertile, well-protected forest are the towers of House Ossum's castle. Yet, just beyond the edges of this idyllic scenery, vast storm clouds churn ominously, their tendrils stretching toward the horizon. Beyond the storms lies only darkness, a stark reminder of the volatile nature of this planet.

Despite the grandeur of the view, you can't help but feel a faint twinge of surprise. You had expected the castle of House Ossum to exude even greater opulence and indulgence. Instead, it is a structure of substance and strength, a true fortification. Its design speaks to purpose over extravagance, though it does not lack a certain refined elegance.

Your shuttle touches down on the castle's landing pad, where a small entourage awaits your arrival. Hegemony soldiers stand at attention. Beside them, a dignified figure steps forward: the House Ossum butler, clad in traditional livery that reflects the house's martial heritage, a Brass Skull",visitCastleOssum1:Continue,
hegtales_ossumcastleVisit1,DialogOptionSelected,$option == visitCastleOssum1,ShowImageVisual ossum_castle,"The butler greets you with a polite bow before leading you and your bodyguards into the depths of the castle. The halls you traverse are steeped in history, their walls adorned with an eclectic mix of paintings, artifacts, and war trophies. Each piece tells a story—some of noble pursuits, others of brutal conquest. Hunting trophies share space with salvaged spaceship parts, a testament to House Ossum's dominance both on the ground and among the stars.

Finally, you arrive at an imposing door. The butler turns to your bodyguards, gesturing for them to remain behind with the soldiers. ""Your companions will wait here."" 

With a nod, you step inside alone, leaving the others behind as the door closes softly behind you.
",visitCastleOssum2:Continue,
hegtales_ossumcastleVisit2,DialogOptionSelected,$option == visitCastleOssum2,BeginConversation hegtales_australis false true,"Before you can even close the door, you hear the man speaking.

""Usually, I prefer to conduct my business through comms,"" the officer begins, ""But there's something about meeting face-to-face that allows me to gauge a person's true character."" He leans back slightly, his eyes narrowing as he studies you. ""Corby's report described you as a resourceful individual, and from what I see, I'm inclined to agree. So, I'll keep this brief.""

The officer, a stern figure with a brass skull pin gleaming on his cap, gestures for you to sit as he lowers himself into a high-backed chair behind his desk. His attention flits between the screens in front of him and the tripad in his hand before settling back on you.

""House Ossum has a legacy."" he continues, ""We've been training officers for the Navy before and after the Collapse. Our work has always been in service to the Domain and its continuation, even in these fractured times. But such dedication comes at a cost.""",visitCastleOssum3:Continue,
hegtales_ossumcastleVisit3,DialogOptionSelected,$option == visitCastleOssum3,"EndConversation DO_NOT_FIRE
AddPotentialContact hegtales_australis
$player.invitedtocastleossum = false
$player.australiscontact = true","He pauses, placing the cap on the desk with deliberate care. 

""It means we've made enemies—many of them. And here on Eventide, prying eyes are everywhere. That's why I needed to meet you in person.""

The weight of his words lingers in the air, his expression hardening. ""I need someone outside the usual channels. Someone who can act with discretion and resolve. Do some tasks for me. Help House Ossum, and I'll make sure your efforts are rewarded handsomely. Very handsomely.""

He stands abruptly, the conversation clearly at an end. ""Blessing of Ludd be upon you."" he says. With a curt nod, he dismisses you, turning his attention back to the screens as though you had already left.",visitCastleOssum4:Return to your shuttle.,
hegtales_ossumcastleVisit4,DialogOptionSelected,$option == visitCastleOssum4,"ShowDefaultVisual
FireAll PopulateOptions",,,
#END Australis first contact,,,,,,
,,,,,,
#startnormal australis talk,,,,,,
greetingAustralisSpacePremission,OpenCommLink,"$id == hegtales_australis score:1400
!$hegtalesIsMarketFaction hegemony",,"""Scanned and identified. If you need something important or Hegemony Related, speak to someone else."" $PersonRank $personName signs off with a flash of a brass skull.",0:cutCommLink:Cut the comm link,
greetingAustralisSpace,OpenCommLink,"$id == hegtales_australis score:1500
$player.australiscontact ",,"""Captain $playerLastname. If you got business, talk to me in the planet. I am currently in patrol."" $PersonRank $personName signs off with a flash of a brass skull.",0:cutCommLink:Cut the comm link,
greetingAustralisSpaceNice,OpenCommLink,"$id == hegtales_australis score:2000
$global.hegtales_Quest3_missionCompleted ",,"""Captain $playerLastname! I am currently busy! Talk to at home."" $PersonRank $personName signs off with a flash of a brass skull.",0:cutCommLink:Cut the comm link,
,,,,,,
greetingAustralisnormal,PickGreeting,"$id == hegtales_australis score:1000
$player.australiscontact 
","BeginConversation hegtales_australis
FireAll PopulateOptions","The man is currently looking at his tripad, almost absently before he turns his green eyes to the screen. ""Australis of House Ossum here...""

""Captain $playerLastName.""

He sighs softly and puts on a polite smile.

""What can House Ossum do for you today?""
",,
greetingAustralisnormalFamily,PickGreeting,"$id == hegtales_australis score:1200
$global.hegtales_house_ossum_start score:1000
$player.australiscontact 
","BeginConversation hegtales_australis
FireAll PopulateOptions","The man is currently looking at his tripad, almost absently before he turns his green eyes to the screen. ""Australis of House Ossum here...""

""$playerFirstName! Your mother told me to keep you safe! But i know that you can keep yourself safe.""

""What do you need?""",,
"hegmod_Australistalkstart

",PopulateOptions,"$id == hegtales_australis score:1000
$player.australiscontact",,,"hegtales_australistalk:""I want to know more about House Ossum.""",
hegtales_australis_aicoresAustralis,DialogOptionSelected,"$option == aiCores_startTurnIn
$id == hegtales_australis score:1000","FireAll PopulateOptions
SetEnabled aiCores_startTurnIn false","""I am sorry, Captain $playerLastName.""

""I cannot accept these cores. Their presence conflicts with the teachings of Ludd and the principles I hold dear. Please approach any other Hegemony officials about them. They will be better suited to handle such matters."" 

Australis then proceeds to do a quick prayer.",,
hegtales_australistalk,DialogOptionSelected,$option == hegtales_australistalk,"FireAll hegtales_australistalkQuestions
SetShortcut hegtales_australistalkQuestionsCancel ""ESCAPE""","
","hegtales_australistalkQuestionsOssum:""Tell me about House Ossum""
hegtales_australistalkQuestionsAustralis:""Tell me about yourself.""
hegtales_australistalkQuestionsEventide:""Tell me about Eventide.""
hegtales_australistalkQuestionsBorealis:""Tell me about the Lord of Bones.""
hegtales_australistalkQuestionsHegemon:""Tell me about the High Hegemon.""
hegtales_australistalkQuestionsCancel:""I got all the information I wanted.""",
"hegtales_australistalkQuestionsAustralis
",DialogOptionSelected,$option == hegtales_australistalkQuestionsAustralis,,"Australis raises an eyebrow at the question, a faint smile playing on his lips. For a moment, he seems to search for the right words, his amusement evident in the way he leans back slightly in his chair.

""I am a Rear Admiral of the Hegemony Navy."" he begins, his tone measured but carrying a hint of pride. ""Currently, I serve in… let's call it an unspecified ministry. The less I say about it, the better —for both our sakes."" He chuckles softly, though his words leave no doubt about the secrecy surrounding his work.

His expression softens as he shifts to a more personal note. ""On the home front, I'm a very happily married man,"" he continues, his voice warming. ""My wife and I have three children. You might have heard their giggles during our meeting or perhaps not. Our castle is far more spacious than the cramped corridors of a spaceship, so they have plenty of room to run around without causing too much of a ruckus.""
",hegtales_australistalkQuestionsAustralis2:Keep listening.,
"hegtales_australistalkQuestionsAustralis2
",DialogOptionSelected,"$option == hegtales_australistalkQuestionsAustralis2
","$option = hegtales_australistalk 0
FireBest DialogOptionSelected","He pauses briefly, his gaze momentarily distant. ""We're also devout Luddics, every one of us. Faith has always been the foundation of our house, and we strive to uphold its tenets in all that we do.""

Australis then shifts back to his professional life, recounting a few minor tasks and missions with a casual air. ""I've handled my share of assignments—some mundane, some with a bit more excitement, but nothing you'd find particularly noteworthy."" he says, waving a hand dismissively.",,
hegtales_australistalkQuestionsEventide,DialogOptionSelected,"$option == hegtales_australistalkQuestionsEventide
",,"""A place of contrasts and complexities. While the noble houses may have their differences and trust me, there are plenty, we've always managed to work together when it matters most. Unity has been our strength. It's what keeps our citizens under control and ensures stability in an otherwise chaotic sector.""

""Eventide isn't just a jewel in the Persean Sector; it's a cornerstone of the Hegemony. From our noble houses come the officers who lead its fleets and maintain its strength. We've upheld the sacred principles of the old Domain and passed them down through generations. It's no exaggeration to say that without Eventide, the Hegemony's foundation would be far weaker.""

""When the Domain returns, and I believe it's a matter of when, not if, they'll find Eventide ready. We are their wayward sons and daughters, and we've never forgotten our heritage. The Domain will be glad to welcome us back into the fold, and we'll be ready to take our rightful place in its grand design.""",,
"hegtales_australistalkQuestionsOssumFamily
",DialogOptionSelected,"$option == hegtales_australistalkQuestionsOssum
$global.hegtales_house_ossum_start score:1000",,"Australis seems extremely amused by your question.

""You are blood of my blood, your mother would be so disappointed to hear that you are asking me this."" He shakes his head slowly but then starts chuckling.

""I already told you the tales of our house when you were little... Don't make me feel like an old man.""",,
"hegtales_australistalkQuestionsOssum
",DialogOptionSelected,"$option == hegtales_australistalkQuestionsOssum
!$global.hegtales_house_ossum_start",,"Australis seems eager to respond, rising from his desk with an energy that belies his otherwise composed demeanor. He strides toward a nearby shelf, retrieving an old, leather-bound book. Its worn edges and gilded lettering suggest it's more than just a family heirloom, it's a piece of history.

""We were originally from Sphinx,"" he begins, his voice carrying a note of pride. ""Our family was among the first settlers in the Persean Sector. When Eventide received its orbital shades and began to flourish, we made the journey here. That was generations ago, and we've lived in our ancestral castle ever since.""

He pauses for a moment, flipping through the pages of the book as though searching for the right words. ""Of course, we were one of the families that signed the Eventide Diktat when the 14th Battlegroup arrived. From that moment on, we've been steadfast allies of the Hegemony, working tirelessly to uphold its vision.""",hegtales_australistalkQuestionsOssum2:Keep listening.,
